9.400000000000000355e+00 2.608621114850954115e+01 2.474080483153627341e+01
2.420000000000000284e+01 4.750821526021577057e+01 4.297190342115002437e+01
3.900000000000000000e+01 5.852954010065526091e+01 5.257776825021074529e+01
5.380000000000000426e+01 7.157923271467474535e+01 6.386439493846325632e+01
6.859999999999999432e+01 7.951062777319081931e+01 7.067262102865686302e+01
8.340000000000000568e+01 9.483957455783810531e+01 8.313176763562137239e+01
9.820000000000001705e+01 9.898332239755063711e+01 8.683085114561083628e+01
1.130000000000000000e+02 1.040030078798891537e+02 9.166736570915293214e+01
1.278000000000000114e+02 1.098121381278654098e+02 9.649220480105472575e+01
1.426000000000000227e+02 1.193882250275537871e+02 1.051346291065814427e+02
